Complains,Charge Amount,Distinct Called Numbers,Tariff Plan,Status,Customer Value,Churn,Usage Index
0,0,17,1,1,197.64,0,-0.6770794338171434
0,0,4,1,2,46.035,0,-2.762616284878096
0,0,24,1,1,1536.52,0,1.7875122010988331
0,0,35,1,1,240.02,0,-0.839583549866418
0,0,33,1,1,145.805,0,-1.3967597035753148
0,1,28,1,1,282.28,0,-0.3901665366943699
0,0,18,1,1,1235.96,0,0.7516300178812141
0,2,43,1,1,945.44,0,2.533575228409651
0,0,44,1,1,557.68,0,3.2034821165755702
0,1,25,1,1,191.92,0,-0.46112926394892706
0,0,12,1,1,268.52,0,0.12289799436418791
0,0,17,1,2,123.68,0,-1.4500818573191028
0,3,32,1,1,830.6,0,4.971897579015814
0,1,8,1,1,2056.88,0,2.456625538322708
0,0,30,1,1,1380.015,0,5.151476365781628
0,1,26,1,1,1007.44,0,1.6767951183458045
0,0,11,1,2,40.005,1,-2.5362536145994783
0,0,8,1,2,80.96,0,-2.461140877293021
0,0,0,1,2,0.0,1,-2.9860320375726848
0,0,43,1,1,2071.575,0,4.364959320504495
0,1,47,1,1,317.975,0,2.493736931576238
0,1,37,1,1,791.685,0,0.8527170354063692
1,0,17,1,2,117.09,1,-1.804871511122203
1,8,42,2,1,159.42,0,1.1048839536256296
1,1,24,1,1,383.22,1,0.31808736253416203
0,0,14,1,1,114.48,0,-1.9324167964491394
0,0,16,1,2,157.24,1,-1.4885746336753949
1,0,31,1,2,228.48,1,-1.3879401539052694
0,0,2,1,2,5.4,1,-2.919884076389162
0,0,6,1,1,67.72,0,-2.1578804660069926
0,1,22,1,1,124.23,0,0.42428989502673153
1,0,4,1,2,38.375,1,-2.6370004708748596
0,1,2,1,1,11.13,0,-2.801560411313163
0,3,80,2,1,734.085,0,4.944286266788637
0,3,33,2,1,1538.145,0,3.0533312035808864
0,0,28,1,1,180.0,0,-0.6671400575766756
0,0,20,1,2,220.36,0,-1.4955623265347524
0,0,23,1,1,914.985,0,0.1276014159535186
0,1,11,2,1,929.295,0,-0.35575729279725654
0,0,7,1,2,77.625,0,-2.299215965160556
0,0,3,1,2,73.375,1,-2.4329785818962915
0,0,13,1,1,142.065,0,-1.974568370732008
0,0,23,1,1,163.44,0,-1.0951053374638822
