Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of Use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Seconds per Use,Call per Month,SMS per Month,Seconds per Month,Usage Index
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,61.55,7.89,0.56,485.56,-0.6770794338171434
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0,63.6,0.56,0.78,35.33,-2.762616284878096
10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,0,40.88,6.67,39.89,272.56,1.7875122010988331
10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0,63.61,7.33,0.11,466.44,-0.839583549866418
3,0,38,0,2393,58,2,33,1,1,1,15,145.805,0,41.26,6.44,0.22,265.89,-1.3967597035753148
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0,46.04,9.11,3.56,419.44,-0.3901665366943699
4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0,60.51,4.33,31.67,262.22,0.7516300178812141
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,75.33,13.44,16.0,1012.78,2.533575228409651
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0,81.5,18.78,0.0,1530.33,3.2034821165755702
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0,54.4,9.22,0.22,501.67,-0.46112926394892706
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0,62.29,10.56,0.78,657.56,0.12289799436418791
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0,41.44,6.0,0.89,248.67,-1.4500818573191028
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0,67.29,25.0,6.0,1682.22,4.971897579015814
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0,114.63,3.0,53.67,343.89,2.456625538322708
9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,85.08,20.22,16.67,1720.56,5.151476365781628
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,75.58,9.56,20.67,722.22,1.6767951183458045
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1,62.5,1.56,0.0,97.22,-2.5362536145994783
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,50.71,1.56,1.44,78.89,-2.461140877293021
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1,0.0,0.0,0.0,0.0,-2.9860320375726848
3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,59.12,14.11,42.67,834.22,4.364959320504495
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0,74.45,17.11,1.22,1273.89,2.493736931576238
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0,89.57,8.33,12.0,746.44,0.8527170354063692
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1,20.32,5.22,1.78,106.11,-1.804871511122203
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0,112.2,10.33,0.11,1159.44,1.1048839536256296
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1,59.37,10.89,2.89,646.44,0.31808736253416203
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,129.09,2.44,0.0,315.56,-1.9324167964491394
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1,72.93,4.56,1.0,332.22,-1.4885746336753949
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1,51.55,4.89,3.78,252.0,-1.3879401539052694
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1,66.5,0.22,0.0,14.78,-2.919884076389162
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0,66.72,2.78,0.0,185.33,-2.1578804660069926
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,0,69.95,10.78,1.56,753.89,0.42428989502673153
0,1,36,0,628,7,9,4,4,1,2,45,38.375,1,89.71,0.78,1.0,69.78,-2.6370004708748596
